user_id,age,employment_type,monthly_income,monthly_expenses,monthly_savings,education_loan,personal_loan,home_loan,vehicle_loan,credit_card_due,total_loans,investment_stocks,investment_crypto,investment_commodities,investment_bonds,credit_score,emergency_fund_months,debt_to_income_ratio,financial_health_score,risk_category
U500029,26,Self-Employed,209144,103088,62666,396618,76980,5287320,98636,61392,5859554,34162,373861,12481,1777313,457,2,2.33,41.0,Medium
U500030,30,Business,218115,132137,56762,348564,876226,8560712,130620,9930,9916122,337081,180450,113710,1576397,356,2,3.79,36.0,High
U500031,25,Student,7319,4376,2943,51197,2454,0,0,1199,53651,2207,1376,226,3182,746,5,0.61,54.0,Medium
U500032,52,Self-Employed,118956,76584,16273,434542,225493,1503021,789480,21160,2952536,428830,121717,72130,481452,705,9,2.07,57.0,Medium
U500033,28,Salaried,226128,122092,61308,531322,82963,8910385,3050211,35532,12574881,590550,288057,31436,2127784,628,5,4.63,55.0,Medium
U500034,27,Business,49014,22805,8724,35640,313182,753937,496230,2535,1598989,21184,17965,48587,211014,441,3,2.72,34.0,High
U500035,22,Salaried,213466,159604,73899,1037979,755820,796805,357782,48308,2948386,890951,205078,244964,1304794,838,3,1.15,62.0,Medium
U500036,40,Business,36941,21599,4939,125756,250210,523983,496357,9174,1396306,76849,7872,22819,160689,759,10,3.15,59.0,Medium
U500037,18,Student,12698,9322,3376,9025,17979,0,0,906,27004,8723,4361,639,20368,361,11,0.18,45.0,Medium
U500038,24,Self-Employed,193200,131126,63257,948776,1035953,879496,2086832,18565,4951057,72656,175258,255160,1107441,409,9,2.14,50.0,Medium
U500039,48,Business,108164,58351,21611,41871,573032,1276851,1876984,41812,3768738,284053,63737,79405,356892,462,9,2.9,47.0,Medium
U500040,31,Salaried,78244,53701,18106,344308,188043,704105,20682,4268,1257138,73299,101852,34201,439948,786,10,1.34,64.0,Medium
U500041,39,Salaried,59676,32948,10933,195095,135797,2579110,715202,7493,3625204,74531,19824,31506,82060,385,5,5.06,34.0,High
U500042,22,Student,14148,10322,3826,32971,30619,0,0,2386,63590,3491,3006,4388,11254,749,0,0.37,42.0,Medium
U500043,48,Business,204578,113462,22360,788887,1588411,6448754,2993004,73206,11819056,242558,100256,162297,396580,451,0,4.81,26.0,High
U500044,58,Salaried,196290,88734,61559,708684,1384632,8518589,2211282,10052,12823187,31972,99299,104618,403167,376,0,5.44,29.0,High
U500045,26,Salaried,62693,28725,9156,103671,490679,2560797,699179,23873,3854326,47953,10708,47581,199880,442,3,5.12,32.0,High
U500046,23,Student,10891,6761,4130,48836,6502,0,0,0,55338,11831,3257,4329,18023,725,6,0.42,56.0,Medium
U500047,47,Salaried,246892,171808,43644,1122995,339327,2967007,4325639,26103,8754968,627037,358572,142218,920540,330,6,2.96,37.0,High
U500048,23,Student,5467,2765,2702,23516,4977,0,0,38,28493,979,750,228,1862,455,10,0.43,53.0,Medium
U500049,59,Self-Employed,61161,44439,8317,109170,553478,1687588,1009872,20332,3360108,53783,106038,31132,412296,308,5,4.58,34.0,High
U500050,30,Student,10191,6752,3439,68825,23479,0,0,445,92304,7273,351,4599,11063,712,6,0.75,53.0,Medium
U500051,23,Self-Employed,62517,37611,19076,183691,372989,1173277,856574,16756,2586531,3458,10492,30791,127857,455,9,3.45,47.0,Medium
U500052,36,Salaried,246085,157590,51321,781804,852050,5302895,637935,29996,7574684,604436,306062,432374,1560590,642,6,2.57,54.0,Medium
U500053,54,Salaried,144091,58049,30488,574225,213664,3651302,1147181,62776,5586372,66311,163885,63590,607765,699,7,3.23,53.0,Medium
U500054,54,Self-Employed,41682,25070,12153,215789,301322,583658,104564,16261,1205333,14131,28836,79962,320786,693,6,2.41,58.0,Medium
U500055,56,Salaried,196115,112416,50284,1172828,534397,8418002,992719,73666,11117946,196971,91073,11115,290389,428,11,4.72,47.0,Medium
U500056,50,Self-Employed,176488,91363,56642,975325,837303,1255312,555712,69189,3623652,275579,211469,148323,479653,557,0,1.71,39.0,High
U500057,46,Salaried,182936,90179,45823,751738,1546648,4540477,1475079,61600,8313942,275294,31637,7005,1977246,822,1,3.79,55.0,Medium
U500058,42,Salaried,231887,145900,59270,1290134,1859465,6276188,3445903,109084,12871690,165943,62831,52609,702630,421,7,4.63,41.0,Medium
U500059,33,Salaried,104116,61300,34153,602201,914595,3672206,505977,27920,5694979,235269,84735,14374,815474,495,9,4.56,56.0,Medium
U500060,31,Self-Employed,246962,146646,77480,708857,484303,3487716,2052939,33786,6733815,939560,79585,403728,1782079,469,4,2.27,48.0,Medium
U500061,47,Business,59777,26653,11383,177762,36003,179703,945288,21062,1338756,196055,68199,16717,217723,679,0,1.87,42.0,Medium
U500062,50,Business,204019,117521,32969,1156745,1479383,572543,2059741,92963,5268412,263130,130514,29086,1387518,569,8,2.15,50.0,Medium
U500063,31,Self-Employed,118517,58401,21665,657551,203310,1357633,973943,15820,3192437,151336,112816,34927,341567,688,6,2.24,49.0,Medium
U500064,55,Self-Employed,235220,131525,82100,1140447,1057960,4779001,859503,51473,7836911,112535,23816,136370,857041,399,6,2.78,43.0,Medium
U500065,29,Self-Employed,228840,138899,66003,674738,1173410,1263412,2222988,68623,5334548,132196,57928,123530,465797,598,11,1.94,56.0,Medium
U500066,36,Salaried,79367,53493,23643,205879,354317,1157691,324625,2315,2042512,8218,91414,80787,339215,592,5,2.14,49.0,Medium
U500067,51,Salaried,202288,105736,68506,497925,927401,2206003,1579296,18664,5210625,419029,243504,61956,704547,629,11,2.15,62.0,Medium
U500068,46,Salaried,227768,143033,69788,100232,1812885,478878,2216617,82888,4608612,620670,191115,266995,2030741,718,7,1.69,63.0,Medium
U500069,38,Self-Employed,128423,81230,32626,147971,334169,5460738,882126,54024,6825004,457008,289081,181061,677638,739,5,4.43,58.0,Medium
U500070,28,Student,6693,4324,2369,24231,14812,0,0,1060,39043,216,167,81,2134,471,9,0.49,47.0,Medium
U500071,24,Student,18950,14743,4207,68278,2694,0,0,2742,70972,5250,201,3741,50861,505,7,0.31,43.0,Medium
U500072,30,Student,10258,5821,4437,73391,1579,0,0,299,74970,1803,1205,1409,3831,360,9,0.61,46.0,Medium
U500073,28,Self-Employed,68916,48716,15348,168872,99758,2160792,621198,18774,3050620,227053,112358,5618,302810,536,11,3.69,56.0,Medium
U500074,24,Student,11668,9804,1864,40149,1191,0,0,1945,41340,8434,1470,142,19678,631,6,0.3,44.0,Medium
U500075,25,Salaried,244230,149707,32239,505711,1686207,9066062,1992977,32217,13250957,692449,680714,670243,1445855,575,0,4.52,40.0,Medium
U500076,26,Student,12478,7242,5236,42533,10598,0,0,2304,53131,401,2327,1739,9186,372,6,0.35,41.0,Medium
U500077,26,Self-Employed,132995,97960,32366,301451,1133378,5502625,1115987,60979,8053441,647450,182947,197863,846892,593,6,5.05,55.0,Medium
U500078,24,Student,19798,14723,5075,27656,42336,0,0,3090,69992,4144,4464,5496,23169,705,6,0.29,50.0,Medium
U500079,47,Salaried,224525,149315,72223,689002,2125353,2035399,2156477,65404,7006231,174136,416995,164436,1346885,440,1,2.6,39.0,High
U500080,26,Student,15103,10547,4556,53225,6402,0,0,1922,59627,2635,540,2767,10294,638,1,0.33,39.0,High
U500081,30,Student,13301,7872,5429,70438,14831,0,0,595,85269,468,741,600,5917,517,1,0.53,38.0,High
U500082,18,Student,12323,8490,3833,19496,26900,0,0,1371,46396,709,650,257,5940,755,1,0.31,44.0,Medium
U500083,29,Self-Employed,147948,95433,41643,248321,1013994,3308128,1406919,35070,5977362,384126,278239,108159,752470,415,6,3.37,46.0,Medium
U500084,29,Business,66315,42423,7509,109903,47863,1157214,973396,28108,2288376,309179,108701,69700,291281,822,10,2.88,64.0,Medium
U500085,41,Salaried,188245,82372,50940,309109,1263773,8961515,2983795,40129,13518192,643840,229894,363272,1159674,640,7,5.98,58.0,Medium
U500086,49,Salaried,66813,34968,21728,226186,537087,2701907,1177530,8112,4642710,161435,19547,73536,370578,352,0,5.79,34.0,High
U500087,37,Salaried,163259,96987,47699,894554,178270,3223293,858181,54284,5154298,407954,88160,10098,1459834,722,3,2.63,55.0,Medium
U500088,35,Salaried,148863,107589,40651,879051,1317931,5594166,1788678,1466,9579826,52435,84947,33862,294924,760,8,5.36,57.0,Medium
U500089,30,Business,207831,111728,65318,327734,1948189,4091718,1250785,80126,7618426,226497,97554,12440,289691,485,7,3.05,45.0,Medium
U500090,50,Salaried,244779,175246,78426,1392234,980867,1565664,3441469,84437,7380234,136247,99763,112206,919065,421,0,2.51,33.0,High
U500091,33,Self-Employed,212810,144046,58523,1227151,1280205,5894572,1079255,67042,9481183,447990,173517,235479,326919,329,3,3.71,33.0,High
U500092,48,Self-Employed,145539,104966,48123,731310,270979,5928,269331,59084,1277548,23118,32234,53587,309791,392,7,0.73,42.0,Medium
U500093,37,Salaried,76325,32837,23813,152905,659909,1732416,567253,26541,3112483,58515,4951,112273,447035,330,4,3.4,38.0,High
U500094,57,Salaried,100765,55447,17815,326989,435448,4683827,1813181,29968,7259445,307448,182513,142516,775899,719,1,6.0,49.0,Medium
U500095,25,Student,10507,5784,4723,75625,9498,0,0,1618,85123,9797,1583,387,22193,442,0,0.68,37.0,High
U500096,29,Salaried,131599,67817,21440,746345,1078474,1911416,1088925,54564,4825160,561189,195130,284651,455981,329,7,3.06,40.0,Medium
U500097,34,Self-Employed,74981,37131,21205,147548,708527,860998,763125,37410,2480198,89374,37000,15868,177403,563,7,2.76,48.0,Medium
U500098,18,Student,7425,4953,2472,33128,13142,0,0,1262,46270,328,2701,1527,12397,550,1,0.52,38.0,High
U500099,30,Student,17319,13755,3564,109591,8957,0,0,240,118548,32,44,51,135,772,7,0.57,51.0,Medium
U500100,29,Student,19032,16106,2926,791,36683,0,0,3679,37474,1390,647,3947,47877,326,1,0.16,23.0,High
U500101,55,Salaried,248926,100727,54524,1058512,562457,6236939,1274038,49241,9131946,368220,35940,148599,1788199,360,10,3.06,47.0,Medium
U500102,29,Self-Employed,155751,112490,41817,131932,466281,4727160,1556227,40919,6881600,368136,320286,87625,901114,540,5,3.68,49.0,Medium
U500103,40,Salaried,37167,21386,5341,30319,301702,1506487,43465,6559,1881973,101313,12215,25662,204870,319,8,4.22,39.0,High
U500104,23,Business,100905,75469,15387,168929,559467,4007297,582137,40079,5317830,7827,9998,107359,1049889,394,8,4.39,45.0,Medium
U500105,58,Salaried,130481,70641,45509,51367,1081880,2102985,2131270,43617,5367502,95673,97677,139500,1197795,390,8,3.43,51.0,Medium
U500106,53,Salaried,139147,90290,37272,491706,705978,1397710,432727,4212,3028121,28519,4595,116887,579416,605,1,1.81,40.0,Medium
U500107,49,Salaried,206937,112270,40723,213746,1857383,1792655,2393425,48448,6257209,364180,167807,86506,1519226,620,7,2.52,53.0,Medium
U500108,36,Business,247592,111856,28945,800599,1064404,10553105,520453,85410,12938561,409132,220373,375800,2195235,486,11,4.35,53.0,Medium
U500109,58,Salaried,122581,76993,21026,63528,13300,1808374,1092330,35579,2977532,257305,65417,126126,362778,684,11,2.02,58.0,Medium
U500110,19,Student,19749,15937,3812,74397,8466,0,0,1474,82863,7302,1359,2821,12819,401,4,0.35,31.0,High
U500111,32,Business,200842,125137,32727,831051,402985,4005324,3570214,67435,8809574,220364,311222,248623,813003,794,5,3.66,53.0,Medium
U500112,29,Student,14023,7534,6489,71584,574,0,0,189,72158,8073,3579,1854,12350,628,7,0.43,55.0,Medium
U500113,23,Salaried,133973,99374,25089,685389,956330,5551670,2232549,48547,9425938,357919,223250,145442,779926,752,3,5.86,52.0,Medium
U500114,32,Business,210202,101044,48722,548581,1880956,342448,1123632,61400,3895617,382920,138376,30829,1083569,525,9,1.54,51.0,Medium
U500115,25,Student,10473,8279,2194,53244,19128,0,0,910,72372,600,181,18,1065,469,5,0.58,35.0,High
U500116,33,Salaried,27524,14347,7676,25410,166383,590757,152362,9508,934912,45590,17593,22183,266144,595,3,2.83,50.0,Medium
U500117,26,Student,19521,12668,6853,67804,28476,0,0,3877,96280,3632,842,1479,10706,568,1,0.41,38.0,High
U500118,19,Student,18490,10810,7680,114768,44145,0,0,3194,158913,14005,7149,383,31324,482,9,0.72,52.0,Medium
U500119,42,Salaried,72948,48929,16658,334217,433389,357910,1143720,3681,2269236,56854,113169,62334,772779,821,0,2.59,53.0,Medium
U500120,49,Salaried,215599,129058,52018,824945,756002,8337054,3036483,20138,12954484,653347,328410,235355,919603,401,6,5.01,43.0,Medium
U500121,28,Student,10568,7218,3350,7275,25017,0,0,278,32292,8205,1983,4072,17517,751,9,0.25,60.0,Medium
U500122,18,Student,7516,5808,1708,963,10599,0,0,257,11562,7039,2928,2285,12980,785,5,0.13,51.0,Medium
U500123,30,Salaried,65317,27568,6882,260652,285616,1786008,953293,7312,3285569,241899,127376,103152,274130,464,3,4.19,37.0,High
U500124,44,Self-Employed,154725,81831,51535,559467,1160285,841477,347137,8352,2908366,173013,124439,272444,976122,559,5,1.57,51.0,Medium
U500125,41,Salaried,160069,75536,50487,725079,8959,6937678,1496643,54599,9168359,594312,150848,250980,739995,614,1,4.77,47.0,Medium
U500126,57,Salaried,154911,90968,42404,826167,331342,4789251,2135020,18367,8081780,98735,82002,7985,222401,389,8,4.35,41.0,Medium
U500127,28,Student,6433,4121,2312,12310,8748,0,0,641,21058,6176,2835,3315,6362,556,9,0.27,53.0,Medium
U500128,51,Salaried,246273,103355,61136,1154857,175851,4808893,3293108,62334,9432709,320741,358209,116828,1609329,596,8,3.19,55.0,Medium
U500129,30,Student,10871,8607,2264,51460,5150,0,0,1286,56610,7218,2235,2677,11848,321,11,0.43,41.0,Medium
U500130,44,Salaried,228121,129710,46688,1367573,142081,10206751,1002492,46978,12718897,329334,84917,118236,1038650,512,3,4.65,39.0,High
U500131,50,Salaried,21446,13199,7098,110365,131116,1016146,92511,4494,1350138,79239,9091,36907,80017,436,3,5.25,43.0,Medium
U500132,30,Salaried,214719,119906,26058,1124746,881049,6410156,3042435,10026,11458386,735878,173152,260517,1780341,615,3,4.45,46.0,Medium
U500133,56,Business,172712,127203,40380,723014,521732,6062412,334490,60006,7641648,321834,185088,310534,1132143,802,2,3.69,54.0,Medium
U500134,34,Salaried,113063,74042,15796,466682,1005744,113596,201024,15036,1787046,197247,48976,56514,263289,369,3,1.32,29.0,High
U500135,51,Self-Employed,95562,38570,30344,326446,327533,12023,820571,37718,1486573,61659,48526,53193,105646,424,3,1.3,36.0,High
U500136,46,Self-Employed,156539,92368,20004,219842,712670,4804222,1027834,2970,6764568,254401,93026,140066,595393,682,10,3.6,55.0,Medium
U500137,26,Salaried,185540,131501,50722,544575,64074,973049,2405147,47317,3986845,174958,246684,143076,966513,661,6,1.79,54.0,Medium
U500138,40,Business,44747,20260,7510,3221,203468,2127971,126275,2674,2460935,168336,100748,100014,220850,672,3,4.58,50.0,Medium
U500139,35,Salaried,119917,61430,18121,586035,374251,5262816,1680543,37974,7903645,224798,112628,114742,126159,754,1,5.49,42.0,Medium
U500140,25,Self-Employed,151414,103395,22248,559629,1451072,4519671,1936298,37075,8466670,134285,240071,117041,1056702,632,6,4.66,50.0,Medium
U500141,26,Salaried,137764,67153,39922,192519,566660,4219197,2086944,26198,7065320,267832,105538,106030,573643,304,4,4.27,36.0,High
U500142,22,Student,10795,6297,4498,19974,19284,0,0,224,39258,772,1174,630,6966,410,5,0.3,41.0,Medium
U500143,27,Business,37371,17550,11177,151571,97598,458973,406137,7246,1114279,15196,1149,10295,272983,409,0,2.48,34.0,High
U500144,30,Student,19598,13619,5979,92792,9055,0,0,855,101847,3385,9287,3978,37308,653,9,0.43,55.0,Medium
U500145,25,Salaried,113457,47612,16000,11883,330178,2495889,1792573,41097,4630523,200905,57614,14099,276391,825,7,3.4,55.0,Medium
U500146,42,Business,20528,14650,6398,61019,181642,545691,100226,3152,888578,52029,33753,25482,74688,471,1,3.61,40.0,Medium
U500147,28,Self-Employed,38312,25610,12072,174447,349682,633862,558714,18702,1716705,74822,73188,19437,378048,473,11,3.73,61.0,Medium
U500148,55,Salaried,153899,76415,23678,58232,420255,6291431,2570581,12338,9340499,307561,78044,119075,391616,785,1,5.06,44.0,Medium
U500149,29,Business,217024,135187,35886,354449,974895,8820376,355359,62416,10505079,603252,98543,503095,1459730,793,10,4.03,65.0,Medium
U500150,54,Salaried,211258,151617,56107,85805,2005468,2712020,3289917,85421,8093210,397088,136455,241120,699358,817,9,3.19,64.0,Medium
U500151,19,Student,5689,2971,2718,32489,4305,0,0,985,36794,4196,446,2612,11179,530,11,0.54,60.0,Medium
U500152,22,Salaried,177343,83673,57616,973766,654385,1807279,2411043,20868,5846473,115970,38071,39783,433430,560,10,2.75,54.0,Medium
U500153,51,Business,198452,102304,43620,254754,128201,2488760,1808418,36932,4680133,400020,287755,62264,840387,601,6,1.97,49.0,Medium
U500154,43,Salaried,37767,16399,13116,7169,146186,1352377,86954,10837,1592686,12474,9744,15742,78813,463,4,3.51,40.0,Medium
U500155,55,Self-Employed,99667,43619,33564,537829,431114,4051640,1374700,45201,6395283,9566,56780,47874,237118,670,3,5.35,47.0,Medium
U500156,38,Business,110406,57647,24909,418564,272691,607774,1866201,33068,3165230,286167,101020,97038,446975,698,3,2.39,49.0,Medium
U500157,51,Business,145185,93387,34640,843715,263876,2478997,2024455,60038,5611043,292963,316362,108235,1173355,432,5,3.22,45.0,Medium
U500158,51,Salaried,23036,16829,7015,88553,60283,252862,154440,10347,556138,20839,27704,6378,94441,574,6,2.01,50.0,Medium
U500159,35,Business,57176,30724,9828,318296,44810,444589,1012762,2441,1820457,23695,1397,18103,142049,605,2,2.65,37.0,High
U500160,37,Self-Employed,128521,61696,37033,712620,451785,1045554,2054397,29392,4264356,101448,40276,23015,155984,540,6,2.77,44.0,Medium
U500161,48,Business,24382,9837,3401,57739,171786,467776,293616,8299,990917,49736,24097,1389,183963,318,1,3.39,29.0,High
U500162,30,Self-Employed,78366,56445,21321,25708,232286,428385,192394,8061,878773,197996,124604,4042,386812,593,9,0.93,57.0,Medium
U500163,43,Salaried,191610,90252,25312,37321,88662,4358405,3226313,55784,7710701,505267,139511,307326,657274,819,2,3.35,49.0,Medium
U500164,27,Self-Employed,83266,35724,13891,469074,796554,1523613,654043,25046,3443284,90016,63891,66370,191987,350,0,3.45,24.0,High
U500165,31,Self-Employed,129379,76524,29194,73649,973035,5724515,1738159,52379,8509358,26575,5725,2870,490699,302,7,5.48,35.0,High
U500166,28,Self-Employed,151339,87069,44868,650941,1446268,4610452,663048,5602,7370709,117204,199825,331719,1144859,352,0,4.06,35.0,High
U500167,41,Self-Employed,130047,55377,35823,377942,346199,5244592,1841269,54400,7810002,12588,29679,10507,350347,784,11,5.0,63.0,Medium
U500168,59,Salaried,219744,109029,74390,501424,51007,2851050,3711523,22455,7115004,72731,29958,185996,1283740,517,5,2.7,47.0,Medium
U500169,26,Student,15581,10483,5098,15869,34069,0,0,2212,49938,13672,6054,147,26160,562,4,0.27,44.0,Medium
U500170,21,Student,19394,11719,7675,76588,29621,0,0,300,106209,2867,3690,5273,23279,724,9,0.46,60.0,Medium
U500171,47,Business,133600,81354,40848,107348,521127,2254205,1545835,3355,4428515,55358,59198,46137,173236,757,4,2.76,51.0,Medium
U500172,41,Salaried,190450,86311,26352,1109064,293035,3920643,2023871,23135,7346613,515307,12586,436655,1602541,802,6,3.21,59.0,Medium
U500173,29,Self-Employed,228799,134032,24404,99266,1496268,3117260,563908,86453,5276702,1155635,292993,135946,1629783,720,3,1.92,50.0,Medium
U500174,48,Salaried,85228,51985,26804,371616,680991,3401301,919562,22514,5373470,158096,129314,13724,457304,374,10,5.25,50.0,Medium
U500175,40,Salaried,237472,122649,82798,881773,1844604,6091177,125605,57599,8943159,22648,54761,95548,806628,607,0,3.14,41.0,Medium
U500176,28,Student,16138,12599,3539,82616,13467,0,0,1665,96083,18022,5179,4879,17985,574,1,0.5,35.0,High
U500177,58,Business,124745,67988,39802,131042,932653,2032748,539675,47392,3636118,172275,189622,127581,500112,398,0,2.43,34.0,High
U500178,50,Business,31162,18207,7196,62815,163128,635754,205365,756,1067062,29835,8696,17772,75510,734,6,2.85,52.0,Medium
U500179,20,Student,13668,9498,4170,59277,17059,0,0,2422,76336,7460,6133,6267,28023,452,5,0.47,41.0,Medium
U500180,54,Business,218802,87849,39405,128509,269190,2642252,647406,85887,3687357,146940,226370,372498,1222736,522,10,1.4,52.0,Medium
U500181,36,Self-Employed,138769,64330,19145,641079,1174900,672746,2192860,23876,4681585,193803,104800,10097,1075224,741,1,2.81,45.0,Medium
U500182,53,Salaried,169524,96945,40130,437086,1612854,3274644,2589490,2018,7914074,52067,37489,47047,468015,566,0,3.89,35.0,High
U500183,41,Salaried,135020,96982,38388,594117,1201761,4602774,1642500,40332,8041152,50426,73807,143322,518809,629,8,4.96,54.0,Medium
U500184,37,Salaried,155642,96758,50945,921559,1297483,843449,2739667,58117,5802158,216183,134002,157993,394005,515,8,3.11,51.0,Medium
U500185,42,Salaried,217463,106801,43745,901022,2027323,7483402,1525577,30346,11937324,385763,365326,59689,1662187,451,3,4.57,40.0,Medium
U500186,32,Salaried,168751,85585,54156,888187,1315354,4082034,2152516,7931,8438091,387666,68780,153771,398370,412,9,4.17,48.0,Medium
U500187,38,Business,150176,88903,34817,85427,866613,2603738,498913,25664,4054691,209619,229839,207858,744486,588,1,2.25,42.0,Medium
U500188,21,Student,9908,6707,3201,966,14451,0,0,1055,15417,82,1292,2924,23551,422,0,0.13,31.0,High
U500189,39,Business,188874,104483,41546,756998,180902,5478628,1387076,54459,7803604,671538,452116,222377,1239999,778,6,3.44,61.0,Medium
U500190,53,Self-Employed,211319,125126,35688,576540,637713,974544,2234135,23630,4422932,156381,120377,104703,1002762,575,0,1.74,35.0,High
U500191,35,Self-Employed,150087,94382,40486,265773,25156,4222502,1622530,49973,6135961,315093,74202,37150,441487,400,3,3.41,36.0,High
U500192,58,Salaried,116760,50360,30811,275381,92724,465897,1576437,43093,2410439,413883,58666,110831,475735,698,3,1.72,51.0,Medium
U500193,46,Salaried,166745,99363,41075,21580,914861,1615741,1589891,24423,4142073,80132,75430,68608,1141800,404,11,2.07,50.0,Medium
U500194,42,Self-Employed,112391,79907,11853,131568,157487,3147351,54397,7444,3490803,485432,295635,163614,599217,348,6,2.59,39.0,High
U500195,23,Student,17350,12843,4507,41710,20704,0,0,752,62414,5989,397,2284,13672,476,0,0.3,30.0,High
U500196,28,Salaried,225519,143152,45763,799926,2156659,6425430,3002921,32331,12384936,87615,115977,266687,1453474,440,1,4.58,34.0,High
U500197,24,Student,15327,9254,6073,28978,5895,0,0,2759,34873,361,115,160,786,846,2,0.19,52.0,Medium
U500198,31,Salaried,168083,121866,37782,666652,632428,1554644,2213298,55666,5067022,362964,29817,74190,569019,386,4,2.51,36.0,High
U500199,26,Student,13155,9205,3950,14237,27821,0,0,2363,42058,2927,1908,124,21608,382,6,0.27,38.0,High
U500200,47,Self-Employed,112098,75816,17793,411435,1068313,2604110,1020317,31539,5104175,210861,106101,97739,449221,663,9,3.79,54.0,Medium
U500201,27,Salaried,110945,63661,36543,98858,402472,2802608,909024,6270,4212962,309318,105993,132048,855130,611,10,3.16,64.0,Medium
U500202,35,Self-Employed,180711,130829,58204,205012,1645515,6469405,2764201,40792,11084133,452023,56062,220510,1282830,506,7,5.11,53.0,Medium
U500203,55,Salaried,65869,29872,18675,135456,71481,3002199,45575,11451,3254711,192427,26602,98211,296468,645,11,4.12,63.0,Medium
U500204,18,Student,11568,5878,5690,41819,13434,0,0,2289,55253,1711,3227,2690,16511,560,0,0.4,42.0,Medium
U500205,46,Self-Employed,167043,106603,34140,879945,1117173,7514616,26387,26601,9538121,344999,164105,192423,401190,539,0,4.76,35.0,High
